obiekt,cecha1,cecha2,cecha3,cecha4,cecha5,cecha6,cecha7,cecha8,cecha9,cecha10,cecha11,cecha12,cecha13,cecha14,cecha15,cecha16,cecha17,cecha18,cecha19,cecha20,cecha21,cecha22,cecha23,cecha24,cecha25,cecha26,cecha27,cecha28,cecha29,cecha30,cecha31,cecha32,cecha33
1,5,3,3,1,2,2,5,6,1,7,2,7,9,3,2,1,7,7,1,5,2,6,5,70,81,110,105,3,9,5,5,14,5
1,5,3,1,1,3,2,7,6,1,7,3,4,9,5,1,3,1,7,1,1,2,2,5,76,74,116,120,3,7,8,1,9,1
1,5,5,3,1,2,2,7,6,1,7,2,7,9,3,1,3,7,7,1,1,2,6,5,80,78,110,113,3,5,8,5,7,3
2,3,3,3,1,3,3,5,6,1,7,2,1,9,5,1,1,5,3,1,1,3,6,5,90,87,68,74,4,4,6,4,4,3
2,5,5,1,1,3,2,5,6,1,7,3,4,9,5,2,1,3,3,1,1,3,4,5,65,81,76,73,3,5,2,6,9,10
2,5,3,1,1,3,2,5,6,1,7,2,1,9,5,2,1,5,3,,1,3,6,5,87,73,71,79,3,6,5,7,5,7
3,7,3,3,1,4,3,5,4,1,7,2,2,9,5,1,1,9,7,1,1,3,5,3,73,82,110,108,4,1,6,3,4,5
3,5,5,1,1,4,3,5,6,1,7,2,1,9,3,2,1,9,5,1,1,3,5,5,84,90,112,115,4,1,6,3,8,8
3,5,5,1,1,3,3,5,4,1,7,2,1,9,3,2,1,9,5,1,1,3,5,3,89,96,120,113,4,5,6,2,4,4
4,5,7,7,1,3,3,5,7,3,7,2,6,9,3,1,1,3,5,1,1,2,6,,62,65,70,68,2,5,5,4,3,5
4,3,7,1,1,3,2,5,7,1,7,2,6,9,3,2,1,3,5,2,1,2,6,5,65,63,57,73,1,8,6,3,6,7
4,5,5,7,1,3,2,5,7,1,7,2,6,9,3,1,1,3,5,1,1,2,6,5,64,67,69,79,2,6,5,8,5,7
